epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,270.902,0.70038,0.4319,0.8698,0.99049,0.98347,0.99476,0.81855,0.79903,0.43437,0.85474,0.0011684,0.0011684,0.0011684
44,277.517,0.70439,0.43721,0.86739,0.9896,0.99174,0.99434,0.82872,0.72042,0.40711,0.84666,0.0011486,0.0011486,0.0011486
45,283.995,0.69537,0.42505,0.88537,0.98252,0.99174,0.99426,0.78788,0.79599,0.43691,0.85384,0.0011288,0.0011288,0.0011288
46,290.381,0.72559,0.44114,0.87572,0.99132,0.98347,0.99484,0.79309,0.80646,0.46388,0.85834,0.001109,0.001109,0.001109
47,296.816,0.70137,0.42916,0.87305,0.99064,0.98347,0.99475,0.823,0.71908,0.39058,0.84389,0.0010892,0.0010892,0.0010892
48,303.486,0.66984,0.41664,0.87156,0.9918,0.99907,0.995,0.83492,0.68763,0.3755,0.84035,0.0010694,0.0010694,0.0010694
49,309.958,0.68167,0.43092,0.86417,1,0.99024,0.995,0.83069,0.72966,0.41384,0.84444,0.0010496,0.0010496,0.0010496
50,316.555,0.69473,0.44289,0.86753,0.9976,0.98347,0.99484,0.82967,0.68889,0.40525,0.83622,0.0010298,0.0010298,0.0010298
51,323.316,0.67921,0.41817,0.87039,0.99865,0.99174,0.995,0.81145,0.72444,0.39682,0.83922,0.00101,0.00101,0.00101
52,330.044,0.69288,0.42051,0.86769,0.99811,0.99174,0.995,0.82774,0.70412,0.40009,0.84293,0.0009902,0.0009902,0.0009902
53,336.861,0.66993,0.41731,0.86111,0.99741,0.99174,0.995,0.82843,0.72788,0.39583,0.84584,0.0009704,0.0009704,0.0009704
54,343.589,0.66682,0.40787,0.85767,0.99674,0.99174,0.995,0.8345,0.6919,0.37448,0.83927,0.0009506,0.0009506,0.0009506
55,350.884,0.65987,0.40406,0.86516,0.99313,0.99174,0.995,0.82109,0.69536,0.37172,0.83762,0.0009308,0.0009308,0.0009308
56,359.685,0.67151,0.40637,0.8848,0.98359,0.99079,0.99475,0.82259,0.72399,0.38972,0.84228,0.000911,0.000911,0.000911
57,371.324,0.6646,0.40843,0.86958,0.99104,0.99174,0.99475,0.80976,0.76508,0.38967,0.8537,0.0008912,0.0008912,0.0008912
58,385.424,0.67486,0.4124,0.86494,0.99082,0.98347,0.99467,0.81048,0.7439,0.40601,0.84753,0.0008714,0.0008714,0.0008714
59,396.826,0.64813,0.39946,0.86187,0.98989,0.99174,0.99467,0.80667,0.7673,0.40916,0.8523,0.0008516,0.0008516,0.0008516
60,407.384,0.66688,0.40971,0.86521,0.99172,0.98994,0.99492,0.83003,0.72154,0.36604,0.84268,0.0008318,0.0008318,0.0008318
61,422.422,0.65079,0.39872,0.85926,0.9918,0.99974,0.99484,0.8343,0.69923,0.36331,0.84689,0.000812,0.000812,0.000812
62,430.577,0.63714,0.38653,0.85702,0.98374,0.99982,0.99483,0.82454,0.6915,0.36027,0.84026,0.0007922,0.0007922,0.0007922
63,438.145,0.62474,0.38558,0.85128,0.98346,0.98252,0.99459,0.82773,0.69658,0.39195,0.83675,0.0007724,0.0007724,0.0007724
64,444.479,0.62527,0.38712,0.85952,0.9804,0.99174,0.99442,0.83775,0.68174,0.3864,0.83347,0.0007526,0.0007526,0.0007526
65,449.917,0.63187,0.37532,0.85629,0.99179,0.99856,0.99484,0.81715,0.76539,0.39598,0.84776,0.0007328,0.0007328,0.0007328
66,455.257,0.60737,0.3783,0.8594,0.98307,1,0.99492,0.80487,0.72675,0.37863,0.85326,0.000713,0.000713,0.000713
67,460.58,0.61089,0.37546,0.84998,0.9918,0.99963,0.995,0.82977,0.73366,0.37722,0.85115,0.0006932,0.0006932,0.0006932
68,467.104,0.60722,0.36916,0.85181,0.9918,0.99987,0.995,0.84937,0.67606,0.35402,0.83827,0.0006734,0.0006734,0.0006734
69,475.323,0.61656,0.3725,0.86017,0.9964,0.99174,0.995,0.83897,0.70304,0.35875,0.83864,0.0006536,0.0006536,0.0006536
70,482.533,0.62342,0.37389,0.85125,0.99664,0.99174,0.995,0.82417,0.69954,0.35538,0.8435,0.0006338,0.0006338,0.0006338
71,489.535,0.6092,0.37337,0.8617,0.98989,0.99174,0.99492,0.81392,0.779,0.39099,0.86115,0.000614,0.000614,0.000614
